facility,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,pagerank,hub_score,authority_score,community_id,community_size
IND126102AAA,0.0018115942028985505,0.0006038647342995169,0.0012077294685990338,0.0012128376899163712,0.10662649064824531,0.0004273551514841637,1.88224526302267e-21,-9.294300486334724e-21,15,71
IND124141AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.001208459214501511,0.10115216933211349,0.0006417865581441793,0.0036144959070443334,-1.2203011817125037e-21,1,122
IND124507AAA,0.0024154589371980675,0.0012077294685990338,0.0012077294685990338,0.0008085584599442474,0.12668905904473393,0.000727006921012332,0.0017358644339612512,0.0009353726955416756,15,71
IND131028AAE,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.10659604768160767,0.00042722020641956554,9.836875452111062e-05,0.00018651881135631497,15,71
IND125047AAB,0.0024154589371980675,0.0012077294685990338,0.0012077294685990338,0.0004152254185092751,0.1216528696659599,0.0006053878106874892,6.663456277891718e-05,0.0010482482291559612,8,21
IND125051AAA,0.0024154589371980675,0.0018115942028985505,0.0006038647342995169,0.0016149276821810646,0.12161324332404914,0.0010029802365479515,1.3792237812868635e-21,0.0006264574699747338,8,21
IND335501AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0004053738488258389,0.12125776453550859,0.0004271114672473956,4.844167178843861e-21,0.0006122185957001802,8,21
IND335513AAA,0.003623188405797101,0.0018115942028985505,0.0018115942028985505,0.004838580206372141,0.12203061186626275,0.0013995819598511747,3.3483052465079642e-21,0.0010602288391779228,8,21
IND335523AAB,0.0024154589371980675,0.0018115942028985505,0.0006038647342995169,0.00041074743228953125,0.12163305326757809,0.0011196850434266547,0.0007897359669202538,0.0010602288391779232,8,21
IND335524AAA,0.0018115942028985505,0.0012077294685990338,0.0006038647342995169,0.0,0.12161324332404914,0.0006053878106874892,0.00011149928890846952,0.0010482482291559612,8,21
IND125050AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.10306491566731012,0.00037523137313880627,6.588159070238217e-05,7.159890600678658e-06,8,21
IND125111AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0016127384444736346,0.10300804442125285,0.000969899021904203,-3.635628684994078e-21,1.311481752857422e-20,8,21
IND125104AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0028091568515842776,0.08956522898040803,0.0005536912754192105,0.0005499781585317673,2.9216285937092412e-21,8,21
IND125121AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0016105492067662044,0.08934019071663818,0.000941838298092389,0.0007897359669202538,-3.4570609535792604e-20,8,21
IND126116AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.09206082036859349,0.0002997747256990246,5.025479897891442e-22,1.3119319887485066e-20,15,71
IND131301AAA,0.0018115942028985505,0.0012077294685990338,0.0006038647342995169,0.0012084592145015106,0.09209488332630264,0.0005546722315249105,0.0017162491263353924,4.778648160552262e-21,15,71
IND126112AAA,0.0006038647342995169,0.0,0.0006038647342995169,0.0,0.0,0.00011808275676922355,0.0017162491263353924,-0.0,15,71
IND127201AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.001210648452208941,0.1190348021695619,0.0006158124194651146,-1.2833334558283575e-22,-6.082496798562788e-20,1,122
IND131021AAA,0.0006038647342995169,0.0,0.0006038647342995169,0.0,0.0,0.00011808275676922355,4.011759350502349e-21,-0.0,9,2
IND131028AAA,0.0006038647342995169,0.0006038647342995169,0.0,0.0,0.0006038647342995169,0.0002184672085625545,-0.0,3.8147175653612583e-20,9,2
IND132103AAA,0.0024154589371980675,0.0012077294685990338,0.0012077294685990338,0.0008100179517492009,0.12666756811020558,0.0004843054502479087,0.0017559332988473912,0.0011241701084321978,15,71
